Date,AAPL,JPM,PFE,XOM
2020-01-02,72.46826171875,119.03642272949219,27.494842529296875,53.66171646118164
2020-01-03,71.76374053955078,117.46558380126953,27.347320556640625,53.230308532714844
2020-01-06,72.33555603027344,117.3721694946289,27.31219482421875,53.639015197753906
2020-01-07,71.99534606933594,115.37677001953125,27.22087860107422,53.20002746582031
2020-01-08,73.15349578857422,116.27680969238281,27.43864631652832,52.39775466918945
2020-01-09,74.70733642578125,116.70136260986328,27.31922149658203,52.79889678955078
2020-01-10,74.876220703125,115.53809356689453,27.740711212158203,52.32963180541992
2020-01-13,76.47591400146484,116.49759674072266,27.684511184692383,52.829158782958984
2020-01-14,75.4432373046875,117.8561782836914,28.14813995361328,52.375038146972656
2020-01-15,75.11992645263672,116.09001159667969,28.56962776184082,52.291786193847656
2020-01-16,76.06092071533203,116.54005432128906,28.527477264404297,52.087425231933594
2020-01-17,76.90296936035156,117.34668731689453,28.457233428955078,51.89066696166992
2020-01-21,76.3818130493164,116.1919174194336,28.33780860900879,51.1489143371582
2020-01-22,76.65446472167969,116.05603790283203,28.232444763183594,50.85375213623047
2020-01-23,77.02364349365234,115.93717193603516,28.597728729248047,50.535858154296875
2020-01-24,76.80164337158203,113.05868530273438,27.97252082824707,50.195274353027344
2020-01-27,74.54326629638672,112.10772705078125,28.211366653442383,48.99941635131836
2020-01-28,76.65205383300781,114.14558410644531,26.792367935180664,48.93132019042969
2020-01-29,78.25655364990234,113.97575378417969,26.398983001708984,48.52260208129883
2020-01-30,78.14313507080078,115.38525390625,26.306730270385742,49.03727722167969
2020-01-31,74.67838287353516,112.38792419433594,26.427364349365234,47.01645278930664
2020-02-03,74.47328186035156,113.2455062866211,26.618974685668945,45.96440124511719
2020-02-04,76.93193054199219,114.87581634521484,26.746719360351562,45.38918685913086
2020-02-05,77.55925750732422,116.82874298095703,27.087345123291016,47.478126525878906
2020-02-06,78.46646118164062,116.84574127197266,27.15121078491211,46.83479309082031
2020-02-07,77.39990234375,116.47212219238281,27.002180099487305,46.52448654174805
2020-02-10,77.76750946044922,116.95612335205078,26.831867218017578,46.03313446044922
2020-02-11,77.29830932617188,117.1768798828125,27.03057289123535,46.47073745727539
2020-02-12,79.13397979736328,117.1768798828125,26.782197952270508,47.038856506347656
2020-02-13,78.57044982910156,117.07501220703125,26.207380294799805,46.77783966064453
2020-02-14,78.58980560302734,116.71835327148438,25.909324645996094,46.5628662109375
2020-02-18,77.15078735351562,115.17298889160156,25.774492263793945,45.97171401977539
2020-02-19,78.26815032958984,116.74383544921875,25.71062660217285,46.32487106323242
2020-02-20,77.46520233154297,116.74383544921875,25.440948486328125,45.95635986328125
2020-02-21,75.71177673339844,115.31735229492188,25.348703384399414,45.39591598510742
2020-02-24,72.11542510986328,112.21807098388672,24.603567123413086,43.26930236816406
2020-02-25,69.6727066040039,107.20835876464844,24.078420639038086,41.61100387573242
2020-02-26,70.77798461914062,107.53101348876953,24.63905143737793,40.69740295410156
2020-02-27,66.15135955810547,103.05619812011719,24.199066162109375,38.24834060668945
2020-02-28,66.11266326904297,98.58991241455078,23.716506958007812,39.492069244384766
2020-03-02,72.26780700683594,103.18358612060547,24.752599716186523,41.36533737182617
2020-03-03,69.97262573242188,99.3116455078125,24.34099578857422,39.384586334228516
2020-03-04,73.21829223632812,101.76555633544922,25.831256866455078,40.244441986083984
2020-03-05,70.84329986572266,96.7728271484375,25.16419219970703,38.47098159790039
2020-03-06,69.90249633789062,91.77156829833984,24.851945877075195,36.61307144165039
2020-03-09,64.37374877929688,79.34062194824219,23.957788467407227,32.137203216552734
2020-03-10,69.01005554199219,85.50514221191406,24.546794891357422,33.32719421386719
2020-03-11,66.61331176757812,81.48038482666016,22.82944107055664,32.22933578491211
2020-03-12,60.0349235534668,74.76394653320312,21.30369758605957,28.544231414794922
2020-03-13,67.22757720947266,88.23078918457031,23.212650299072266,29.26589584350586
2020-03-16,58.57897186279297,75.02716064453125,21.417238235473633,26.479032516479492
2020-03-17,61.15468978881836,79.61236572265625,22.822345733642578,28.26016616821289
2020-03-18,59.65763473510742,71.23164367675781,22.96428108215332,25.427242279052734
2020-03-19,59.20053482055664,72.42890167236328,21.58755874633789,26.432968139648438
2020-03-20,55.442142486572266,70.90049743652344,20.58694839477539,25.135501861572266
2020-03-23,54.26432418823242,67.10498809814453,20.217931747436523,24.145130157470703
2020-03-24,59.70842742919922,75.08659362792969,21.07661247253418,27.208377838134766
2020-03-25,59.3795051574707,77.8886489868164,21.112091064453125,28.628679275512695
2020-03-26,62.50422286987305,83.31444549560547,22.53139305114746,29.803312301635742
2020-03-27,59.916404724121094,77.379150390625,21.92818832397461,28.367647171020508
2020-03-30,61.62631607055664,79.39156341552734,23.184267044067383,28.789907455444336
2020-03-31,61.500545501708984,76.44515991210938,23.162979125976562,29.15074348449707
2020-04-01,58.26457595825195,71.6307373046875,22.53139305114746,28.812931060791016
2020-04-02,59.2368049621582,74.30543518066406,23.326196670532227,31.016321182250977
2020-04-03,58.385494232177734,72.1091079711914,23.87263298034668,30.102720260620117
2020-04-06,63.47889709472656,76.75054168701172,24.532604217529297,31.070056915283203
2020-04-07,62.74366760253906,77.76287841796875,23.851341247558594,31.661218643188477
2020-04-08,64.34956359863281,80.90290832519531,24.553892135620117,33.66499328613281
2020-04-09,64.81392669677734,88.16100311279297,25.114517211914062,33.11221694946289
2020-04-13,66.0860366821289,84.24026489257812,24.937101364135742,32.82817077636719
2020-04-14,69.4236068725586,81.93242645263672,25.85964584350586,32.57481002807617
